Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,10,00,00,00,8,ns
1,00,00,00,00,499.99,ms
2,01,00,00,00,848,ns
3,11,00,00,00,499.99,ms
4,10,00,00,00,1.25,us
5,00,00,00,00,499.99,ms
6,01,00,00,00,1.59,us
7,11,00,00,00,499.99,ms
8,10,00,00,00,1.97,us
9,00,00,00,00,499.99,ms
10,01,00,00,00,2.32,us
11,11,00,00,00,499.99,ms
12,10,00,00,00,2.69,us
13,00,00,00,00,499.98,ms
14,01,00,00,00,3.06,us
15,11,00,00,00,499.98,ms
16,10,00,00,00,3.38,us
17,00,00,00,00,499.98,ms
18,01,00,00,00,3.81,us
19,11,00,00,00,499.98,ms
20,10,00,00,00,4.14,us
21,00,00,00,00,499.98,ms
22,01,00,00,00,4.50,us
23,11,00,00,00,499.88,ms
24,01,00,00,00,816,ns
25,00,00,00,00,500.11,ms
26,10,00,00,00,2.01,us
27,11,00,00,00,499.99,ms
28,01,00,00,00,1.62,us
29,00,00,00,00,499.99,ms
30,10,00,00,00,1.28,us
31,11,00,00,00,499.99,ms
32,01,00,00,00,904,ns
33,00,00,00,00,499.99,ms
34,10,00,00,00,544,ns
35,11,00,00,00,499.99,ms
36,01,00,00,00,224,ns
37,00,00,00,00,499.99,ms
38,01,00,00,00,144,ns
39,11,00,00,00,499.99,ms
40,10,00,00,00,552,ns
41,00,00,00,00,499.99,ms
42,01,00,00,00,856,ns
43,11,00,00,00,499.99,ms
44,10,00,00,00,1.22,us
45,00,00,00,00,499.99,ms
46,01,00,00,00,1.63,us
47,11,00,00,00,499.99,ms
48,10,00,00,00,1.97,us
49,00,00,00,00,499.99,ms
50,01,00,00,00,2.34,us
51,11,00,00,00,499.99,ms
52,10,00,00,00,2.70,us
53,00,00,00,00,499.98,ms
54,01,00,00,00,3.04,us
55,11,00,00,00,499.98,ms
56,10,00,00,00,3.40,us
57,00,00,00,00,499.98,ms
58,01,00,00,00,3.75,us
59,11,00,00,00,499.98,ms
60,10,00,00,00,4.17,us
61,00,00,00,00,499.98,ms
62,01,00,00,00,4.46,us
63,11,00,00,00,499.88,ms
64,01,00,00,00,848,ns
65,00,00,00,00,500.11,ms
66,10,00,00,00,1.98,us
67,11,00,00,00,499.99,ms
